name,team,position_text,salary,points
"Hartline, Brian","MIA","WR","4900","5.6"
"Turbin, Robert","SEA","RB","4700","5.6"
"Roberts, Andre","WAS","WR","4900","5.6"
"Paul, Niles","WAS","TE","4900","5.4"
"Gerhart, Toby","JAX","RB","4800","5.4"
"Kerley, Jeremy Prob","NYJ","WR","4500","5.3"
"Thomas, Daniel","MIA","RB","4800","5.2"
"Wright, Tim","NE","TE","5800","5.2"
"Cleveland Browns","CLE","D","4800","5"
"San Francisco 49ers","SF","D","5200","5"
"Johnson, Steve","SF","WR","5700","4.8"
"Helfet, Cooper","SEA","TE","5000","4.5"
"Rivera, Mychal","OAK","TE","5000","4.5"
"Lee, Marqise","JAX","WR","4800","4.4"
"Wright, Jarius","MIN","WR","4900","4.4"
"West, Terrance","CLE","RB","4800","4.4"
"Green, Ladarius","SD","TE","4800","4.4"
"Benjamin, Travis","CLE","WR","5900","4.3"
"Dray, Jim","CLE","TE","4900","4.3"
"Randle, Joseph","DAL","RB","4800","4.3"
"Thomas, De'Anthony","KC","RB","4800","4.2"
"Lloyd, Brandon","SF","WR","5300","4.2"
"Gillmore, Crockett","BAL","TE","4900","4.2"
"Austin, Tavon","STL","WR","4900","4.1"
"Willson, Luke","SEA","TE","5100","4.1"
"Dallas Cowboys","DAL","D","4700","4"
"St. Louis Rams","STL","D","4600","4"
"Miami Dolphins","MIA","D","5100","4"
"Thompson, Juwan Prob","DEN","RB","6500","4"
"Moore, Lance","PIT","WR","4900","4"
"Amendola, Danny","NE","WR","4900","4"
"Brown, Donald Prob","SD","RB","6000","4"
"Givens, Chris","STL","WR","4600","4"
"Jacksonville Jaguars","JAX","D","4500","4"
"Ford, Chase Prob","MIN","TE","5000","3.9"
"Cadet, Travaris","NO","RB","5300","3.9"
"Asiata, Matt","MIN","RB","5700","3.8"
"Carlson, John","ARI","TE","4600","3.8"
"Thompkins, K. Prob","OAK","WR","4800","3.8"
"Richardson, Paul","SEA","WR","4900","3.7"
"Graham, Garrett","HOU","TE","4800","3.7"
"Escobar, Gavin","DAL","TE","5300","3.5"
"Fells, Daniel","NYG","TE","5100","3.4"
"Gabriel, Taylor","CLE","WR","5000","3.4"
"Blount, LeGarrette","PIT","RB","4700","3.4"
"Todman, Jordan","JAX","RB","4500","3.4"
"Cumberland, J. Prob","NYJ","TE","4900","3.2"
"Ellington, Bruce","SF","WR","4500","3.1"
"Peerman, Cedric","CIN","RB","4600","3.1"
"Ogletree, Kevin","NYG","WR","4500","3"
"Little, Greg","CIN","WR","4900","3"
"Tate, Brandon","CIN","WR","5400","3"
"San Diego Chargers","SD","D","4700","3"
"Houston Texans","HOU","D","4800","3"
"Watson, Ben","NO","TE","4800","2.8"
"Heyward-Bey, Darrius","PIT","WR","4500","2.8"
"Herron, Dan","IND","RB","4600","2.6"
"Hill, Josh","NO","TE","4900","2.6"
"Anderson, C.J.","DEN","RB","4900","2.6"
"Polk, Chris","PHI","RB","4800","2.6"
"Sims, Dion Inact","MIA","TE","4800","2.5"
"Fasano, Anthony Prob","KC","TE","5000","2.3"
"Hillis, Peyton","NYG","RB","4700","2.2"
"Bailey, Stedman","STL","WR","4700","2.2"
"Michael, Christine","SEA","RB","4500","2.1"
"Parker, Preston","NYG","WR","4700","2.1"
"New England Patriots","NE","D","5100","2"
"New Orleans Saints","NO","D","4600","2"
"New York Jets","NYJ","D","4500","2"
"Philadelphia Eagles","PHI","D","5000","2"
"Pittsburgh Steelers","PIT","D","4800","2"
"Carrier, Derek","SF","TE","4600","2"
"Baltimore Ravens","BAL","D","4900","2"
"Seattle Seahawks","SEA","D","5500","2"
"Washington Redskins","WAS","D","4800","2"
"Avant, Jason","CAR","WR","4800","1.9"
"White, James Inact","NE","RB","4500","1.8"
"Ogbonnaya, Chris","CAR","RB","5000","1.8"
"Williams, Damien","MIA","RB","4600","1.7"
"Dunbar, Lance","DAL","RB","5000","1.7"
"Grimes, Jonathan","HOU","RB","4500","1.7"
"Indianapolis Colts","IND","D","5200","1"
"Arizona Cardinals","ARI","D","5100","1"
"New York Giants","NYG","D","4600","1"
"Oakland Raiders","OAK","D","4500","0"
"Whittaker, F. Inact","CAR","RB","5400","0"
"Sanzenbacher, D. Inact","CIN","WR","5000","0"
"Smith, Alex IR","CIN","TE","4500","0"
"Smith, Geno Inact","NYJ","QB","6500","0"
"Taylor, Stepfan Inact","ARI","RB","6000","0"
"Thomas, Pierre Inact","NO","RB","6700","0"
"Murray, Latavius","OAK","RB","4500","0"
"Pierce, Bernard","BAL","RB","5500","0"
"Quick, Brian IR","STL","WR","5900","0"
"Robinson, Khiry Inact","NO","RB","5100","0"
"Romo, Tony Inact","DAL","QB","8200","0"
"McCown, Josh","TB","QB","5800","0"
"McCoy, Colt","WAS","QB","6100","0"
"Mathews, Ryan Inact","SD","RB","6400","0"
"Jennings, R. Out","NYG","RB","7000","0"
"Johnson, Storm Inact","JAX","RB","5300","0"
"Daniel, Chase","KC","QB","5000","0"
"Cameron, Jordan Inact","CLE","TE","5200","0"
"Butler, Brice","OAK","WR","5000","0"
"Avery, Donnie Inact","KC","WR","4900","0"
"Bernard, G. Inact","CIN","RB","8500","0"
"Bolden, Brandon","NE","RB","4500","0"
"Brown, Ronnie","SD","RB","4700","0"
"Denver Broncos","DEN","D","4900","-1"
"Carolina Panthers","CAR","D","4600","-1"
